CommunityName,State,agepct12t21,agepct12t29,agepct16t24,agepct65up,medIncome,pctWWage,perCapInc,whitePerCap,blackPerCap,indianPerCap,asianPerCap,otherPerCap,HispPerCap,pctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,Population,HouseholdSize,racepctblack,racepctwhite,racepctasian,racepcthisp,TotalPctDiv,PctKids2Par,NumImmig,PctImmigRecent,PctImmigRec5,HousVacant,NumInShelters,NumStreet,murders,murdPerPop,rapes,rapesPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Sheffieldcity,AL,12.99,24.33,12.35,18.09,20134,69.4,10595,11911,6542,11547,15000,1465,11117,20.96,34.2,13.58,7.43,53.23,10380,2.4,23.65,75.76,0.23,0.38,12.08,57.86,64,56.25,56.25,383,8,0,2,19.31,2,19.31,1,9.65,20,193.05,94,907.34,371,3581.08,17,164.09,1,9.65
Cullmancity,AL,13.18,22.89,11.93,19.47,21114,64.64,12559,12583,0,7200,12532,0,1008,17.25,34.83,17,4.42,51.16,13367,2.38,0.2,99.28,0.3,0.53,12.09,71.58,41,46.34,46.34,313,4,1,0,0,3,16.46,7,38.41,61,334.69,114,625.48,535,2935.37,32,175.57,?,?
Homewoodcity,AL,15.4,33.17,17.69,12.46,30516,80.74,17582,18316,11132,15965,7671,13192,17572,6.66,9.38,42.02,3.15,63.2,22922,2.25,8.23,90,1.33,0.83,12.13,74.3,754,19.36,35.15,538,0,0,2,8.31,4,16.62,58,241.05,26,108.06,180,748.1,1106,4596.65,175,727.32,?,?
Florencecity,AL,15.39,27.79,15.85,14.84,21459,70.41,11854,12825,7134,6372,20341,7750,6965,18.55,29.79,22.56,6.99,54.09,36426,2.44,17.07,82.14,0.43,0.49,10.96,65.73,235,19.15,30.64,1003,27,0,4,10.79,9,24.28,30,80.94,182,491.02,345,930.77,1308,3528.84,66,178.06,?,?
Prichardcity,AL,18.76,29.24,14.23,10.16,11576,66.7,5820,8325,5181,7558,773,3943,8136,44.08,46.29,5.15,17.87,44.58,34311,3.09,79.42,20.14,0.03,0.33,15.97,35.57,61,55.74,55.74,1916,0,0,7,20.88,36,107.36,352,1049.77,605,1804.3,1626,4849.24,1529,4559.96,439,1309.24,?,?
Mobilecity,AL,15.09,27.92,13.99,12.37,22446,74.09,12509,16502,6572,9736,7737,8026,10338,22.43,25.16,21.42,9.13,55.14,196278,2.6,38.93,59.62,1.01,1.02,13.52,55.21,4113,23.56,32.48,7375,206,16,42,20.37,122,59.18,1186,575.34,870,422.05,4884,2369.29,9926,4815.22,1537,745.62,52,25.23
Gadsdencity,AL,13.85,24.64,12.79,18.57,19187,64.96,10772,12356,6739,6245,16298,5239,4455,20.44,38.49,10.7,8.36,47.01,42523,2.43,28.18,70.81,0.74,0.39,12.82,56.55,590,48.81,53.56,1634,8,0,9,19.18,40,85.24,187,398.51,790,1683.54,974,2075.65,2733,5824.19,430,916.36,?,?
VestaviaHillscity,AL,12.75,21.28,10.31,14.36,49858,79.1,25940,26036,25090,17500,21115,9000,13876,2.59,5.07,53.18,2.54,61.21,19749,2.56,1.13,97.1,1.49,0.75,7.8,85.96,581,19.79,19.79,324,0,0,0,0,0,0,7,34.98,0,0,40,199.86,159,794.44,26,129.91,?,?
Hoovercity,AL,12.01,26,11.67,9.08,44747,87.49,21961,22322,15652,2959,15766,13488,23288,3.04,5.76,45.77,2.42,70.72,39788,2.48,3.31,95.22,1.19,0.92,9.36,84.43,956,7.53,16.63,974,0,0,2,4.73,7,16.55,42,99.29,37,87.47,299,706.82,1205,2848.57,131,309.68,?,?
Tuskegeecity,AL,28.82,41.83,30.37,12.99,15531,72.45,7554,11408,7462,0,6934,2815,1706,36.18,27.97,27.59,16.51,42.6,12257,3,96.67,2.68,0.47,0.3,11.2,29.93,233,23.61,35.62,626,0,0,2,16.34,9,73.53,18,147.06,128,1045.75,492,4019.61,521,4256.54,30,245.1,3,24.51
Hartsellecity,AL,15.03,25.72,12.11,11.96,28693,78.42,12153,12500,7310,7863,22771,9848,12691,10.52,29.44,14.25,5.6,62.11,10795,2.63,6.33,92.86,0.26,0.33,10.36,76.84,39,0,0,240,0,0,0,0,1,8.5,2,17.01,0,0,22,187.11,101,858.99,6,51.03,?,?
Northportcity,AL,15.31,27.96,14.13,10.91,27552,75.87,12642,14642,6154,14503,7896,22000,20326,17.16,26.91,23.13,6.07,58.93,17366,2.66,22.83,75.96,0.92,0.37,10.75,66.66,194,12.89,31.44,274,0,0,0,0,2,9.81,30,147.12,142,696.35,130,637.5,711,3486.66,29,142.21,?,?
Birminghamcity,AL,13.93,27.56,13.43,13.17,19193,71.75,10127,15353,7188,9539,9602,9403,13763,24.82,30.7,16.15,9.24,53.83,265968,2.52,63.27,35.96,0.56,0.39,15.71,44.48,3181,28.23,39.8,12254,549,230,121,44.69,297,109.7,1706,630.15,4554,1682.13,6628,2448.21,14926,5513.28,3544,1309.06,215,79.42
Enterprisecity,AL,15.16,27.96,13.49,10.46,26276,78.75,12389,14110,6672,5937,7096,10455,8634,15.04,23.09,23.16,5.45,61.82,20123,2.64,21.19,76.52,1.39,2,10.72,69.74,633,23.06,28.12,830,8,0,4,18.65,6,27.98,19,88.61,186,867.42,192,895.4,558,2602.25,31,144.57,?,?
Auburncity,AL,38,59.94,49.19,5.07,12931,87.13,10278,11200,6122,4021,9171,4566,6309,39.91,11.9,50.05,6.77,49.44,33830,2.52,16.35,79.86,3.36,0.93,4.92,65.86,1404,42.24,52.28,1229,0,0,4,11.06,14,38.73,20,55.32,96,265.55,409,1131.37,1443,3991.59,41,113.41,?,?
MountainBrookcity,AL,10.97,18.84,8.28,14.82,65372,76.84,39610,39620,0,90000,31967,0,39358,2.12,2.95,67.41,1.85,60.02,19810,2.52,0.19,99.04,0.65,0.61,5.91,89.84,630,16.83,18.1,259,0,0,0,0,0,0,6,29.55,3,14.77,65,320.12,323,1590.74,17,83.72,?,?
Saralandcity,AL,14.76,26.24,12.71,10.2,30147,80.46,11797,12159,7066,10955,0,0,4114,7.2,26.99,9.09,4.43,58.87,11751,2.74,6.71,92.23,0.18,0.49,9.6,78.13,73,21.92,21.92,203,0,0,1,8.11,1,8.11,9,72.98,184,1492.05,120,973.08,586,4751.87,45,364.9,?,?
Jaspercity,AL,13.55,22.92,10.73,16.77,22476,64.44,12641,13282,9193,0,2847,0,1994,16.4,35.13,16.93,5.48,49.28,13553,2.53,14.59,84.78,0.41,0.42,11.88,67.5,95,27.37,27.37,455,0,0,0,0,3,21.49,20,143.26,157,1124.56,170,1217.68,722,5171.55,74,530.05,5,35.81
FortPaynecity,AL,13.58,25.18,11.79,14.17,20518,71.66,10906,11215,6268,8826,10010,3550,3550,14.07,40.87,10.8,3.72,60.32,11838,2.48,4.81,93.57,0.39,0.46,12.83,73.11,59,10.17,69.49,461,0,0,0,0,2,15.55,1,7.78,7,54.44,62,482.19,477,3709.75,21,163.32,?,?
Fairfieldcity,AL,14.4,24.45,11.92,15.54,21085,70.71,9834,12409,8952,15768,29929,0,4579,20.54,28.75,17.11,8.52,54.07,12200,2.67,75.02,24.75,0.12,0.18,13.64,53.38,65,0,13.85,420,0,5,3,24.03,11,88.1,79,632.71,149,1193.34,199,1593.79,716,5734.42,191,1529.71,?,?
Ozarkcity,AL,15.1,28.26,13.84,12.43,23078,75.91,10517,12078,6060,11581,8477,2526,8998,16.73,28.02,14.69,7.05,56.13,12922,2.59,24.49,73.68,0.87,1.49,11.67,65,276,2.54,2.54,635,0,0,1,7.51,5,37.56,18,135.23,176,1322.21,80,601.01,495,3718.73,16,120.2,7,52.59
Annistoncity,AL,13.98,24.9,11.84,15.94,19099,68.13,11371,15949,5775,15298,7816,27031,9195,24.4,32.98,17.94,11.53,48.81,26623,2.46,44.33,54.5,0.68,0.8,14.4,49.25,374,9.36,16.04,1293,21,10,12,43.76,36,131.27,142,517.78,781,2847.77,1049,3824.98,2089,7617.14,177,645.4,27,98.45
Sylacaugacity,AL,14.14,24.62,11.95,15.67,19950,66.19,10760,12455,5695,7511,0,0,11972,19.6,34.23,17.7,4.75,55.95,12520,2.51,24.53,74.92,0.16,0.33,11.68,63.69,81,0,0,442,0,0,1,7.17,4,28.68,19,136.21,82,587.86,109,781.42,445,3190.19,25,179.22,?,?
Hueytowncity,AL,13.73,24.36,11.8,13.94,29080,76.72,12195,12508,10252,22781,6000,0,0,6.98,24.58,9.55,5.34,57.87,15280,2.66,13.28,86.41,0.2,0.21,9.62,76.21,66,0,0,216,0,0,0,0,3,19.29,18,115.76,61,392.31,116,746.03,356,2289.54,61,392.31,?,?
Eufaulacity,AL,15.79,26.93,12.78,12.62,21920,75.59,11056,13937,5739,5129,11010,0,13605,20.37,37.64,15.52,7.44,58.24,13220,2.7,34.46,64.94,0.32,0.56,12.12,58.97,71,12.68,12.68,559,0,0,1,7.23,6,43.37,12,86.74,76,549.37,69,498.77,468,3382.97,9,65.06,?,?
Jacksonvillecity,AL,31.97,47.45,36.89,9.94,22092,76.75,9761,10493,6623,12668,5093,0,15645,21.03,25.19,30.04,7.84,50.67,10283,2.84,17.65,80.52,1.19,1.78,7.72,70.81,222,17.12,58.11,302,0,0,0,0,6,54.18,6,54.18,39,352.14,60,541.76,264,2383.75,11,99.32,1,9.03
PhenixCitycity,AL,14.7,26.81,13.54,12.78,20478,71.03,9954,12650,5925,11618,2674,11453,10541,22.21,40.9,10.62,8.83,55.08,25312,2.6,39.97,59.43,0.3,0.61,14.99,51.31,243,6.17,6.17,1068,0,0,2,6.86,29,99.5,42,144.1,165,566.12,377,1293.49,860,2950.66,159,545.53,?,?
Alabastercity,AL,13.87,27.21,11.67,6.64,39261,87.11,13645,14083,10395,9221,10611,12000,7332,5.65,22.15,24.38,2.83,70.38,14732,2.99,10.98,88.46,0.33,0.54,8.39,80.57,164,21.34,25,223,0,0,1,5.75,3,17.24,2,11.49,18,103.45,22,126.44,56,321.86,7,40.23,?,?
Daphnecity,AL,12.55,24.93,10.58,9.67,38017,84.28,17471,19026,8601,25096,32887,0,14930,7.06,11.47,35.25,4.13,64.57,11290,2.56,15.89,83.31,0.42,0.95,10.84,77.5,142,8.45,24.65,463,0,0,0,0,0,0,3,20.55,15,102.77,94,644.06,335,2295.31,12,82.22,?,?
Athenscity,AL,13.54,26.18,12.93,13.57,25823,72.72,12954,14323,6846,10871,8737,0,22321,14.4,33.7,20.39,6.03,58.66,16901,2.54,17.99,80.98,0.67,0.46,10.3,71.08,223,17.49,17.49,609,0,1,2,10.61,2,10.61,7,37.13,94,498.54,96,509.15,476,2524.53,21,111.38,?,?
Opelikacity,AL,15.36,28.78,13.93,10.78,25369,76.82,12043,15455,7174,319,7203,1273,7236,20.77,30.1,19.49,6.91,62.78,22122,2.68,39.13,59.4,1.31,0.33,12.78,56.67,353,10.2,45.89,708,53,0,3,12.5,17,70.81,79,329.04,556,2315.8,434,1807.66,1107,4610.77,76,316.55,?,?
Decaturcity,AL,13.51,26.19,11.94,10.99,30005,78.75,14374,15725,7265,10834,23520,15253,18178,12.7,25.96,20.54,5.68,60.77,48761,2.55,16.48,82.4,0.61,0.79,11.86,69.4,509,2.95,7.07,1506,9,0,8,15.13,27,51.05,86,162.61,155,293.08,725,1370.85,2889,5462.59,262,495.4,9,17.02
Huntsvillecity,AL,14.49,29.51,14.93,9.16,32295,82.73,16204,18910,8293,11032,15355,15978,13911,11.63,17.99,33.33,5.51,64.97,159789,2.53,24.42,72.64,2.15,1.24,12.02,68.35,6216,17.33,26.03,4769,296,39,18,11.14,82,50.74,320,198,1751,1083.43,2571,1590.8,10002,6188.71,950,587.81,61,37.74
Montgomerycity,AL,15.6,28.57,14.27,10.53,26311,78.37,12755,17144,7035,11775,7019,5909,11360,18.08,24.25,24.61,7,61.38,187106,2.67,42.34,56.53,0.73,0.8,13.32,57.12,2827,12.38,22.46,6668,109,5,39,19.79,87,44.15,562,285.21,1007,511.05,3558,1805.67,5843,2965.3,1214,616.1,70,35.52
Tuscaloosacity,AL,23.36,38.8,26.5,10.61,19568,76.89,11469,14469,6306,11096,7372,2262,5757,26.72,27.92,27.29,6.93,51.72,77759,2.64,35.49,62.85,1.34,0.77,10.68,55.03,1656,43.9,55.31,1727,17,11,8,9.95,56,69.62,282,350.57,657,816.76,1093,1358.78,6421,7982.35,348,432.62,?,?
Madisoncity,AL,9.83,30.35,10.27,3.03,42911,94.64,19743,20759,9664,16912,15294,26658,18411,4.16,7.58,48.97,2.92,77.02,14904,2.5,7.81,88.63,2.68,1.66,9.9,83.86,654,15.29,22.63,649,0,0,0,0,2,9.8,7,34.31,33,161.73,73,357.77,309,1514.41,31,151.93,0,0
PineBluffcity,AR,16.51,28.17,14.68,13.38,19143,69.31,9530,13974,5688,7669,12183,23509,10718,27.71,34.5,16.56,11.05,51.37,57140,2.74,53.52,45.65,0.49,0.43,12.74,50.22,407,26.04,32.43,2318,28,0,16,27.26,59,100.51,261,444.61,531,904.55,1754,2987.92,2010,3424.02,517,880.7,46,78.36
Rogerscity,AR,12.84,25.81,11.93,14.62,26198,73.97,12779,12784,0,13934,12182,9809,9511,8.72,22.43,15.11,3.31,63.1,24692,2.54,0.06,97.72,0.77,1.86,11.54,76.61,354,18.93,23.73,586,0,0,0,0,9,29.18,10,32.42,44,142.64,233,755.34,1215,3938.79,48,155.61,6,19.45
WestMemphiscity,AR,16.26,28.79,13.83,9.53,22052,77.25,10009,13654,5095,5019,15413,10764,9752,22.94,37.55,10.76,8.34,59.29,28259,2.86,42.15,56.94,0.52,0.5,14.22,51.11,187,0,5.88,626,13,0,7,25.12,24,86.13,121,434.25,50,179.44,197,707.01,797,2860.32,238,854.15,0,0
Paragouldcity,AR,14.13,25.52,12.37,15.18,19985,69.56,10444,10448,10101,10092,0,7652,9321,18.82,39.87,11.26,7.01,55.48,18540,2.49,0.09,99.39,0.18,0.51,12.75,72.93,49,0,0,472,7,0,1,4.65,9,41.81,2,9.29,8,37.16,134,622.47,502,2331.96,35,162.59,1,4.65
Searcycity,AR,23.54,37.19,25.92,14.14,20859,70.42,11454,11005,22136,4557,10478,1105,2498,17.5,28.18,21.71,5.51,50.94,15180,2.9,4.72,93.97,0.46,1.1,8.35,73.01,172,57.56,76.16,332,0,0,0,0,6,32.78,4,21.86,4,21.86,109,595.56,580,3169.05,43,234.95,0,0
ElDoradocity,AR,13.35,23.9,11.11,16.62,19205,67.87,11408,15249,5147,4971,13996,24600,5886,24.83,32.44,16.25,7.53,51.51,23146,2.53,37.7,61.68,0.32,0.48,12.73,55.34,181,11.05,11.05,1111,0,0,4,16.54,11,45.49,47,194.38,63,260.55,407,1683.21,1048,4334.16,59,244,3,12.41
FortSmithcity,AR,13.68,26.3,12.48,13.29,23835,76.41,12994,13767,7263,9949,9013,8158,7546,13.8,26.71,16.74,5.61,61.01,72798,2.46,7.68,86.25,4.09,1.42,13.61,71.7,3010,15.55,27.51,3408,19,5,4,5.3,66,87.51,62,82.21,389,515.77,963,1276.83,3956,5245.22,391,518.42,23,30.5
HotSpringscity,AR,11.19,20.87,10.19,22.68,15708,58.46,11461,11620,10706,8931,13687,5895,9754,24.92,35.62,13.23,6.68,46.71,32462,2.24,15.46,83.11,0.42,1.34,15.04,58.79,881,1.7,5.79,3055,62,3,5,13.85,25,69.26,155,429.43,130,360.17,1209,3349.59,2556,7081.51,230,637.23,15,41.56
LittleRockcity,AR,13.54,27.86,13.17,11.13,26889,79.02,15307,19395,7559,19763,12880,16843,12926,14.62,18.05,30.34,5.26,64.12,175795,2.42,33.98,64.68,0.87,0.76,14.4,58.75,3638,22.37,29.36,8422,140,1,68,37.61,215,118.9,1136,628.25,4468,2470.95,5796,3205.38,14306,7911.69,2081,1150.86,174,96.23
Texarkanacity,AR,14.86,26.95,13.21,13.65,19016,68.24,9990,12230,5501,7605,3405,2697,3696,25.16,32.59,12.35,7.17,53.39,22631,2.6,31.74,67.21,0.53,0.76,14.34,53.43,198,31.82,31.82,1154,8,14,7,30.16,21,90.47,71,305.89,224,965.06,433,1865.49,2289,9861.7,75,323.12,18,77.55
Sherwoodcity,AR,14.39,26.78,11.9,6.96,36698,88.53,15325,15620,11853,8805,13568,4104,8764,4.25,12.78,23.47,3.55,72.16,18893,2.69,5.25,93.64,0.47,1.09,10.67,80.91,263,5.32,5.32,357,6,0,1,4.83,3,14.49,16,77.25,36,173.82,119,574.57,653,3152.91,93,449.04,1,4.83
Blythevillecity,AR,16.24,31.45,15.07,10.56,18858,73.98,8925,11677,4629,6983,11207,6329,4884,25.55,33.68,13.67,8.69,58.42,22906,2.84,38.27,60.06,0.92,1.45,11.87,60.16,253,26.48,28.85,827,26,0,6,34.18,18,102.54,91,518.4,270,1538.11,774,4409.25,1371,7810.19,148,843.11,42,239.26
Springdalecity,AR,14.12,27.13,12.91,11.4,25376,77.88,11837,11912,10173,10883,8020,6934,8652,9.36,29.94,13.68,3.56,65.22,29941,2.62,0.11,97.17,0.98,1.49,11.57,76.12,480,24.17,38.75,576,0,0,1,2.7,9,24.32,13,35.12,43,116.17,256,691.63,1059,2861.08,87,235.05,0,0
NorthLittleRockcity,AR,13.36,25.2,11.67,13.95,23958,72.28,12390,14491,5771,9106,11574,8133,8372,17.2,26.96,17.49,5.39,58.79,61741,2.47,23.62,75.32,0.41,0.84,14.81,57.72,695,8.92,9.78,2268,35,7,13,20.64,71,112.73,324,514.42,235,373.12,1456,2311.73,4732,7513.14,873,1386.09,25,39.69
Jacksonvillecity,AR,15.64,34.53,16.69,5.38,25009,86.23,10337,11182,6917,7566,7128,7998,7963,11.59,17.14,12.18,6.17,68.58,29101,2.95,16.99,79.42,2.3,2.3,11.06,75.82,939,20.34,29.5,1036,0,0,3,10.01,17,56.75,48,160.23,179,597.52,278,928,1322,4412.99,107,357.18,12,40.06
ForrestCitycity,AR,16.65,27.06,12.27,12.65,13704,63.62,7399,11512,4103,11195,30159,0,9022,41.55,38.35,12.49,15.94,45.35,13364,2.81,56.66,42.52,0.51,0.7,13.96,45.3,81,32.1,32.1,439,2,0,0,0,11,81.43,39,288.7,128,947.52,268,1983.86,1030,7624.55,71,525.58,5,37.01
Stuttgartcity,AR,14.61,24.95,11.49,13.91,20618,71.96,12822,16181,5061,14333,2367,24000,13387,18.85,34.62,13.1,6.84,59.87,10420,2.58,30.12,69.31,0.21,0.35,11.2,61.31,20,40,40,363,0,0,2,19.28,2,19.28,17,163.84,39,375.87,205,1975.71,470,4529.68,83,799.92,0,0
Conwaycity,AR,24.56,40.34,27.54,10.18,22291,78.71,10457,10981,5920,11853,7675,12067,3338,16.93,23.73,27.35,7.02,58.69,26481,2.81,10.04,88.82,0.65,0.54,8.61,72.65,305,10.16,11.15,702,0,0,1,2.91,8,23.27,25,72.73,58,168.73,188,546.91,1429,4157.09,75,218.18,4,11.64
Jonesborocity,AR,18.3,33.13,19.49,10.13,23318,78.24,12360,13013,6051,8721,6560,5215,5384,16.45,26.75,21.17,5.1,63,46535,2.59,7.95,90.77,0.82,0.53,11.4,70.74,506,51.98,64.23,1561,2,0,2,3.93,29,57.04,74,145.55,186,365.83,793,1559.7,1743,3428.2,131,257.66,10,19.67
Bentonvillecity,AR,14.09,26.45,12.36,12.63,24604,77.48,12073,12190,12000,8103,8328,7850,10621,9.23,23.53,12.43,3.63,62.69,11257,2.64,0.24,97.49,0.87,1.43,12.21,74.98,131,9.16,19.08,216,0,0,0,0,0,0,7,51.17,9,65.79,71,519.04,351,2565.98,6,43.86,1,7.31
VanBurencity,AR,15.39,28.26,12.88,10.78,21105,74.97,9531,9758,6183,5726,4967,31609,8739,18.58,35.44,9.96,7.38,58.11,14979,2.79,1.61,94.27,2.18,1.67,13.01,69.48,313,22.04,25.88,397,8,6,0,0,2,11.69,3,17.54,13,76,157,917.86,665,3887.75,48,280.62,1,5.85
Arkadelphiacity,AR,27.36,41.51,31.31,12.97,16848,70.16,9106,10545,5227,738,7681,0,6909,28.09,27.6,29.64,5.68,53.74,10014,2.9,25.66,73.09,0.55,0.81,8.25,58.4,183,10.93,42.62,287,24,0,1,9.42,0,0,4,37.69,0,0,24,226.14,271,2553.47,14,131.91,0,0
Russellvillecity,AR,18.7,33.21,19.96,11.46,22902,78.66,11234,11530,6886,6646,6936,5633,3716,14.73,27.12,20.76,6.58,58.53,21260,2.65,4.7,93.59,0.73,1.11,11.04,72.18,144,14.58,14.58,631,0,0,0,0,8,33.99,7,29.74,39,165.7,206,875.25,1064,4520.73,55,233.68,1,4.25
Bentoncity,AR,13.37,24.28,11.54,14.37,24353,71.2,11742,12033,5775,9723,19128,5624,6252,12.95,30,14.25,5.06,56.97,18177,2.6,4.35,94.87,0.21,0.62,10.69,74.42,149,0,0,460,0,0,0,0,12,54.13,10,45.11,80,360.9,182,821.04,812,3663.1,42,189.47,2,9.02
Magnoliacity,AR,18.51,30.08,17.89,15.11,18107,66.05,10230,13215,4649,2279,6924,0,3670,25.19,31.03,17.82,6.84,55.56,11151,2.6,34.08,65.15,0.43,0.39,11.56,58.14,155,23.23,32.26,407,0,0,0,0,1,8.39,18,151.06,38,318.9,105,881.17,184,1544.14,19,159.45,4,33.57
Tucsoncity,AZ,15.91,31.47,16.94,11.34,21748,76.14,11184,12560,9268,6689,7745,6272,7160,20.16,21.39,20.71,8.12,58.52,405390,2.49,4.28,75.25,2.2,29.25,14.15,61.93,43397,18.97,28.48,20653,437,102,44,9.78,314,69.78,894,198.68,3111,691.36,7363,1636.29,32076,7128.3,5143,1142.94,162,36
Avondalecity,AZ,17,30.79,14.96,6.51,24292,79.07,8990,11497,4500,3863,7935,5541,5363,28.22,42.85,9.37,11.09,55,16169,3.29,4.62,58.93,1.26,51.15,12.74,58.91,1699,18.89,27.07,662,0,34,1,4.68,9,42.11,23,107.61,134,626.93,601,2811.83,794,3714.79,142,664.36,16,74.86
BullheadCitycity,AZ,9.48,19.57,9.11,20.05,24814,70.72,12486,12644,9302,11326,9319,7992,8864,12.8,27.56,10.13,6.64,53.26,21951,2.49,0.52,95.28,0.72,6.5,15.61,63.4,881,12.71,18.62,4629,8,0,1,3.56,9,32,32,113.76,185,657.68,565,2008.6,1296,4607.34,185,657.68,19,67.55
Douglascity,AZ,18.62,28,14.12,12.89,14994,59.71,6619,7375,1443,1657,16243,4710,4946,43.13,51.9,9.47,19.22,40.11,12822,3.2,1.07,71.46,0.47,83.47,10.6,56.55,4425,16.07,25.27,316,0,0,0,0,0,0,5,35.15,18,126.54,157,1103.69,677,4759.23,141,991.21,0,0
SierraVistacity,AZ,15.84,32.56,16.38,6.77,29590,84.59,13449,14765,10310,8387,7936,7007,8437,10.73,9.86,23.83,5.47,69.12,32983,2.83,11.97,77.37,5.22,11.78,10.09,78.09,2316,9.11,17.01,1255,0,0,1,2.52,4,10.1,12,30.29,27,68.16,255,643.73,871,2198.77,100,252.44,8,20.2
ParadiseValleytown,AZ,13.63,18.7,10.04,13.47,110550,77.8,62376,63220,120000,46833,30812,7765,28527,3.34,4.27,58.51,3.36,56.34,11671,2.7,0.27,97.48,1.53,2.03,6.42,89.75,712,18.96,25.98,432,0,0,0,0,1,7.01,7,49.06,12,84.11,395,2768.63,169,1184.55,42,294.39,0,0
Peoriacity,AZ,11.08,23.2,8.71,13.02,34205,75.6,14059,14810,11933,12841,9826,7611,9350,7.87,16.54,16.87,4.62,59.93,50618,2.77,2.19,86.95,1.45,15.52,9.19,79.37,2157,8.39,11.87,3690,0,5,4,5.51,16,22.04,31,42.7,247,340.22,691,951.79,1759,2422.87,173,238.29,12,16.53
