State,agepct12t21,agepct12t29,agepct16t24,agepct65up,medIncome,pctWWage,perCapInc,whitePerCap,blackPerCap,indianPerCap,asianPerCap,otherPerCap,HispPerCap,pctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,Population,HouseholdSize,racepctblack,racepctwhite,racepctasian,racepcthisp,TotalPctDiv,PctKids2Par,NumImmig,PctImmigRecent,PctImmigRec5,HousVacant,NumInShelters,NumStreet,murders,murdPerPop,rapes,rapesPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
AL,13.18,22.89,11.93,19.47,21114.0,64.64,12559.0,12583.0,0.0,7200.0,12532.0,0.0,1008.0,17.25,34.83,17.0,4.42,51.16,13367.0,2.38,0.2,99.28,0.3,0.53,12.09,71.58,41.0,46.34,46.34,313.0,4.0,1.0,0,0.0,3.0,16.46,7.0,38.41,61.0,334.69,114.0,625.48,535.0,2935.37,32.0,175.57,30.8125,35.178749999999994
AL,15.4,33.17,17.69,12.46,30516.0,80.74,17582.0,18316.0,11132.0,15965.0,7671.0,13192.0,17572.0,6.66,9.38,42.02,3.15,63.2,22922.0,2.25,8.23,90.0,1.33,0.83,12.13,74.3,754.0,19.36,35.15,538.0,0.0,0.0,2,8.31,4.0,16.62,58.0,241.05,26.0,108.06,180.0,748.1,1106.0,4596.65,175.0,727.32,30.8125,35.178749999999994
AL,15.39,27.79,15.85,14.84,21459.0,70.41,11854.0,12825.0,7134.0,6372.0,20341.0,7750.0,6965.0,18.55,29.79,22.56,6.99,54.09,36426.0,2.44,17.07,82.14,0.43,0.49,10.96,65.73,235.0,19.15,30.64,1003.0,27.0,0.0,4,10.79,9.0,24.28,30.0,80.94,182.0,491.02,345.0,930.77,1308.0,3528.84,66.0,178.06,30.8125,35.178749999999994
AL,18.76,29.24,14.23,10.16,11576.0,66.7,5820.0,8325.0,5181.0,7558.0,773.0,3943.0,8136.0,44.08,46.29,5.15,17.87,44.58,34311.0,3.09,79.42,20.14,0.03,0.33,15.97,35.57,61.0,55.74,55.74,1916.0,0.0,0.0,7,20.88,36.0,107.36,352.0,1049.77,605.0,1804.3,1626.0,4849.24,1529.0,4559.96,439.0,1309.24,30.8125,35.178749999999994
AL,15.09,27.92,13.99,12.37,22446.0,74.09,12509.0,16502.0,6572.0,9736.0,7737.0,8026.0,10338.0,22.43,25.16,21.42,9.13,55.14,196278.0,2.6,38.93,59.62,1.01,1.02,13.52,55.21,4113.0,23.56,32.48,7375.0,206.0,16.0,42,20.37,122.0,59.18,1186.0,575.34,870.0,422.05,4884.0,2369.29,9926.0,4815.22,1537.0,745.62,52.0,25.23
AL,13.85,24.64,12.79,18.57,19187.0,64.96,10772.0,12356.0,6739.0,6245.0,16298.0,5239.0,4455.0,20.44,38.49,10.7,8.36,47.01,42523.0,2.43,28.18,70.81,0.74,0.39,12.82,56.55,590.0,48.81,53.56,1634.0,8.0,0.0,9,19.18,40.0,85.24,187.0,398.51,790.0,1683.54,974.0,2075.65,2733.0,5824.19,430.0,916.36,30.8125,35.178749999999994
AL,12.75,21.28,10.31,14.36,49858.0,79.1,25940.0,26036.0,25090.0,17500.0,21115.0,9000.0,13876.0,2.59,5.07,53.18,2.54,61.21,19749.0,2.56,1.13,97.1,1.49,0.75,7.8,85.96,581.0,19.79,19.79,324.0,0.0,0.0,0,0.0,0.0,0.0,7.0,34.98,0.0,0.0,40.0,199.86,159.0,794.44,26.0,129.91,30.8125,35.178749999999994
AL,12.01,26.0,11.67,9.08,44747.0,87.49,21961.0,22322.0,15652.0,2959.0,15766.0,13488.0,23288.0,3.04,5.76,45.77,2.42,70.72,39788.0,2.48,3.31,95.22,1.19,0.92,9.36,84.43,956.0,7.53,16.63,974.0,0.0,0.0,2,4.73,7.0,16.55,42.0,99.29,37.0,87.47,299.0,706.82,1205.0,2848.57,131.0,309.68,30.8125,35.178749999999994
AL,28.82,41.83,30.37,12.99,15531.0,72.45,7554.0,11408.0,7462.0,0.0,6934.0,2815.0,1706.0,36.18,27.97,27.59,16.51,42.6,12257.0,3.0,96.67,2.68,0.47,0.3,11.2,29.93,233.0,23.61,35.62,626.0,0.0,0.0,2,16.34,9.0,73.53,18.0,147.06,128.0,1045.75,492.0,4019.61,521.0,4256.54,30.0,245.1,3.0,24.51
AL,15.03,25.72,12.11,11.96,28693.0,78.42,12153.0,12500.0,7310.0,7863.0,22771.0,9848.0,12691.0,10.52,29.44,14.25,5.6,62.11,10795.0,2.63,6.33,92.86,0.26,0.33,10.36,76.84,39.0,0.0,0.0,240.0,0.0,0.0,0,0.0,1.0,8.5,2.0,17.01,0.0,0.0,22.0,187.11,101.0,858.99,6.0,51.03,30.8125,35.178749999999994
AL,15.31,27.96,14.13,10.91,27552.0,75.87,12642.0,14642.0,6154.0,14503.0,7896.0,22000.0,20326.0,17.16,26.91,23.13,6.07,58.93,17366.0,2.66,22.83,75.96,0.92,0.37,10.75,66.66,194.0,12.89,31.44,274.0,0.0,0.0,0,0.0,2.0,9.81,30.0,147.12,142.0,696.35,130.0,637.5,711.0,3486.66,29.0,142.21,30.8125,35.178749999999994
AL,13.93,27.56,13.43,13.17,19193.0,71.75,10127.0,15353.0,7188.0,9539.0,9602.0,9403.0,13763.0,24.82,30.7,16.15,9.24,53.83,265968.0,2.52,63.27,35.96,0.56,0.39,15.71,44.48,3181.0,28.23,39.8,12254.0,549.0,230.0,121,44.69,297.0,109.7,1706.0,630.15,4554.0,1682.13,6628.0,2448.21,14926.0,5513.28,3544.0,1309.06,215.0,79.42
AL,15.16,27.96,13.49,10.46,26276.0,78.75,12389.0,14110.0,6672.0,5937.0,7096.0,10455.0,8634.0,15.04,23.09,23.16,5.45,61.82,20123.0,2.64,21.19,76.52,1.39,2.0,10.72,69.74,633.0,23.06,28.12,830.0,8.0,0.0,4,18.65,6.0,27.98,19.0,88.61,186.0,867.42,192.0,895.4,558.0,2602.25,31.0,144.57,30.8125,35.178749999999994
AL,38.0,59.94,49.19,5.07,12931.0,87.13,10278.0,11200.0,6122.0,4021.0,9171.0,4566.0,6309.0,39.91,11.9,50.05,6.77,49.44,33830.0,2.52,16.35,79.86,3.36,0.93,4.92,65.86,1404.0,42.24,52.28,1229.0,0.0,0.0,4,11.06,14.0,38.73,20.0,55.32,96.0,265.55,409.0,1131.37,1443.0,3991.59,41.0,113.41,30.8125,35.178749999999994
AL,10.97,18.84,8.28,14.82,65372.0,76.84,39610.0,39620.0,0.0,90000.0,31967.0,0.0,39358.0,2.12,2.95,67.41,1.85,60.02,19810.0,2.52,0.19,99.04,0.65,0.61,5.91,89.84,630.0,16.83,18.1,259.0,0.0,0.0,0,0.0,0.0,0.0,6.0,29.55,3.0,14.77,65.0,320.12,323.0,1590.74,17.0,83.72,30.8125,35.178749999999994
AL,14.76,26.24,12.71,10.2,30147.0,80.46,11797.0,12159.0,7066.0,10955.0,0.0,0.0,4114.0,7.2,26.99,9.09,4.43,58.87,11751.0,2.74,6.71,92.23,0.18,0.49,9.6,78.13,73.0,21.92,21.92,203.0,0.0,0.0,1,8.11,1.0,8.11,9.0,72.98,184.0,1492.05,120.0,973.08,586.0,4751.87,45.0,364.9,30.8125,35.178749999999994
AL,13.55,22.92,10.73,16.77,22476.0,64.44,12641.0,13282.0,9193.0,0.0,2847.0,0.0,1994.0,16.4,35.13,16.93,5.48,49.28,13553.0,2.53,14.59,84.78,0.41,0.42,11.88,67.5,95.0,27.37,27.37,455.0,0.0,0.0,0,0.0,3.0,21.49,20.0,143.26,157.0,1124.56,170.0,1217.68,722.0,5171.55,74.0,530.05,5.0,35.81
AL,13.58,25.18,11.79,14.17,20518.0,71.66,10906.0,11215.0,6268.0,8826.0,10010.0,3550.0,3550.0,14.07,40.87,10.8,3.72,60.32,11838.0,2.48,4.81,93.57,0.39,0.46,12.83,73.11,59.0,10.17,69.49,461.0,0.0,0.0,0,0.0,2.0,15.55,1.0,7.78,7.0,54.44,62.0,482.19,477.0,3709.75,21.0,163.32,30.8125,35.178749999999994
AL,14.4,24.45,11.92,15.54,21085.0,70.71,9834.0,12409.0,8952.0,15768.0,29929.0,0.0,4579.0,20.54,28.75,17.11,8.52,54.07,12200.0,2.67,75.02,24.75,0.12,0.18,13.64,53.38,65.0,0.0,13.85,420.0,0.0,5.0,3,24.03,11.0,88.1,79.0,632.71,149.0,1193.34,199.0,1593.79,716.0,5734.42,191.0,1529.71,30.8125,35.178749999999994
AL,15.1,28.26,13.84,12.43,23078.0,75.91,10517.0,12078.0,6060.0,11581.0,8477.0,2526.0,8998.0,16.73,28.02,14.69,7.05,56.13,12922.0,2.59,24.49,73.68,0.87,1.49,11.67,65.0,276.0,2.54,2.54,635.0,0.0,0.0,1,7.51,5.0,37.56,18.0,135.23,176.0,1322.21,80.0,601.01,495.0,3718.73,16.0,120.2,7.0,52.59
AL,13.98,24.9,11.84,15.94,19099.0,68.13,11371.0,15949.0,5775.0,15298.0,7816.0,27031.0,9195.0,24.4,32.98,17.94,11.53,48.81,26623.0,2.46,44.33,54.5,0.68,0.8,14.4,49.25,374.0,9.36,16.04,1293.0,21.0,10.0,12,43.76,36.0,131.27,142.0,517.78,781.0,2847.77,1049.0,3824.98,2089.0,7617.14,177.0,645.4,27.0,98.45
AL,14.14,24.62,11.95,15.67,19950.0,66.19,10760.0,12455.0,5695.0,7511.0,0.0,0.0,11972.0,19.6,34.23,17.7,4.75,55.95,12520.0,2.51,24.53,74.92,0.16,0.33,11.68,63.69,81.0,0.0,0.0,442.0,0.0,0.0,1,7.17,4.0,28.68,19.0,136.21,82.0,587.86,109.0,781.42,445.0,3190.19,25.0,179.22,30.8125,35.178749999999994
AL,13.73,24.36,11.8,13.94,29080.0,76.72,12195.0,12508.0,10252.0,22781.0,6000.0,0.0,0.0,6.98,24.58,9.55,5.34,57.87,15280.0,2.66,13.28,86.41,0.2,0.21,9.62,76.21,66.0,0.0,0.0,216.0,0.0,0.0,0,0.0,3.0,19.29,18.0,115.76,61.0,392.31,116.0,746.03,356.0,2289.54,61.0,392.31,30.8125,35.178749999999994
AL,15.79,26.93,12.78,12.62,21920.0,75.59,11056.0,13937.0,5739.0,5129.0,11010.0,0.0,13605.0,20.37,37.64,15.52,7.44,58.24,13220.0,2.7,34.46,64.94,0.32,0.56,12.12,58.97,71.0,12.68,12.68,559.0,0.0,0.0,1,7.23,6.0,43.37,12.0,86.74,76.0,549.37,69.0,498.77,468.0,3382.97,9.0,65.06,30.8125,35.178749999999994
AL,31.97,47.45,36.89,9.94,22092.0,76.75,9761.0,10493.0,6623.0,12668.0,5093.0,0.0,15645.0,21.03,25.19,30.04,7.84,50.67,10283.0,2.84,17.65,80.52,1.19,1.78,7.72,70.81,222.0,17.12,58.11,302.0,0.0,0.0,0,0.0,6.0,54.18,6.0,54.18,39.0,352.14,60.0,541.76,264.0,2383.75,11.0,99.32,1.0,9.03
AL,14.7,26.81,13.54,12.78,20478.0,71.03,9954.0,12650.0,5925.0,11618.0,2674.0,11453.0,10541.0,22.21,40.9,10.62,8.83,55.08,25312.0,2.6,39.97,59.43,0.3,0.61,14.99,51.31,243.0,6.17,6.17,1068.0,0.0,0.0,2,6.86,29.0,99.5,42.0,144.1,165.0,566.12,377.0,1293.49,860.0,2950.66,159.0,545.53,30.8125,35.178749999999994
AL,13.87,27.21,11.67,6.64,39261.0,87.11,13645.0,14083.0,10395.0,9221.0,10611.0,12000.0,7332.0,5.65,22.15,24.38,2.83,70.38,14732.0,2.99,10.98,88.46,0.33,0.54,8.39,80.57,164.0,21.34,25.0,223.0,0.0,0.0,1,5.75,3.0,17.24,2.0,11.49,18.0,103.45,22.0,126.44,56.0,321.86,7.0,40.23,30.8125,35.178749999999994
AL,12.55,24.93,10.58,9.67,38017.0,84.28,17471.0,19026.0,8601.0,25096.0,32887.0,0.0,14930.0,7.06,11.47,35.25,4.13,64.57,11290.0,2.56,15.89,83.31,0.42,0.95,10.84,77.5,142.0,8.45,24.65,463.0,0.0,0.0,0,0.0,0.0,0.0,3.0,20.55,15.0,102.77,94.0,644.06,335.0,2295.31,12.0,82.22,30.8125,35.178749999999994
AL,13.54,26.18,12.93,13.57,25823.0,72.72,12954.0,14323.0,6846.0,10871.0,8737.0,0.0,22321.0,14.4,33.7,20.39,6.03,58.66,16901.0,2.54,17.99,80.98,0.67,0.46,10.3,71.08,223.0,17.49,17.49,609.0,0.0,1.0,2,10.61,2.0,10.61,7.0,37.13,94.0,498.54,96.0,509.15,476.0,2524.53,21.0,111.38,30.8125,35.178749999999994
AL,15.36,28.78,13.93,10.78,25369.0,76.82,12043.0,15455.0,7174.0,319.0,7203.0,1273.0,7236.0,20.77,30.1,19.49,6.91,62.78,22122.0,2.68,39.13,59.4,1.31,0.33,12.78,56.67,353.0,10.2,45.89,708.0,53.0,0.0,3,12.5,17.0,70.81,79.0,329.04,556.0,2315.8,434.0,1807.66,1107.0,4610.77,76.0,316.55,30.8125,35.178749999999994
AL,13.51,26.19,11.94,10.99,30005.0,78.75,14374.0,15725.0,7265.0,10834.0,23520.0,15253.0,18178.0,12.7,25.96,20.54,5.68,60.77,48761.0,2.55,16.48,82.4,0.61,0.79,11.86,69.4,509.0,2.95,7.07,1506.0,9.0,0.0,8,15.13,27.0,51.05,86.0,162.61,155.0,293.08,725.0,1370.85,2889.0,5462.59,262.0,495.4,9.0,17.02
AL,14.49,29.51,14.93,9.16,32295.0,82.73,16204.0,18910.0,8293.0,11032.0,15355.0,15978.0,13911.0,11.63,17.99,33.33,5.51,64.97,159789.0,2.53,24.42,72.64,2.15,1.24,12.02,68.35,6216.0,17.33,26.03,4769.0,296.0,39.0,18,11.14,82.0,50.74,320.0,198.0,1751.0,1083.43,2571.0,1590.8,10002.0,6188.71,950.0,587.81,61.0,37.74
AL,15.6,28.57,14.27,10.53,26311.0,78.37,12755.0,17144.0,7035.0,11775.0,7019.0,5909.0,11360.0,18.08,24.25,24.61,7.0,61.38,187106.0,2.67,42.34,56.53,0.73,0.8,13.32,57.12,2827.0,12.38,22.46,6668.0,109.0,5.0,39,19.79,87.0,44.15,562.0,285.21,1007.0,511.05,3558.0,1805.67,5843.0,2965.3,1214.0,616.1,70.0,35.52
AL,23.36,38.8,26.5,10.61,19568.0,76.89,11469.0,14469.0,6306.0,11096.0,7372.0,2262.0,5757.0,26.72,27.92,27.29,6.93,51.72,77759.0,2.64,35.49,62.85,1.34,0.77,10.68,55.03,1656.0,43.9,55.31,1727.0,17.0,11.0,8,9.95,56.0,69.62,282.0,350.57,657.0,816.76,1093.0,1358.78,6421.0,7982.35,348.0,432.62,30.8125,35.178749999999994
AL,9.83,30.35,10.27,3.03,42911.0,94.64,19743.0,20759.0,9664.0,16912.0,15294.0,26658.0,18411.0,4.16,7.58,48.97,2.92,77.02,14904.0,2.5,7.81,88.63,2.68,1.66,9.9,83.86,654.0,15.29,22.63,649.0,0.0,0.0,0,0.0,2.0,9.8,7.0,34.31,33.0,161.73,73.0,357.77,309.0,1514.41,31.0,151.93,0.0,0.0
AR,16.51,28.17,14.68,13.38,19143.0,69.31,9530.0,13974.0,5688.0,7669.0,12183.0,23509.0,10718.0,27.71,34.5,16.56,11.05,51.37,57140.0,2.74,53.52,45.65,0.49,0.43,12.74,50.22,407.0,26.04,32.43,2318.0,28.0,0.0,16,27.26,59.0,100.51,261.0,444.61,531.0,904.55,1754.0,2987.92,2010.0,3424.02,517.0,880.7,46.0,78.36
AR,12.84,25.81,11.93,14.62,26198.0,73.97,12779.0,12784.0,0.0,13934.0,12182.0,9809.0,9511.0,8.72,22.43,15.11,3.31,63.1,24692.0,2.54,0.06,97.72,0.77,1.86,11.54,76.61,354.0,18.93,23.73,586.0,0.0,0.0,0,0.0,9.0,29.18,10.0,32.42,44.0,142.64,233.0,755.34,1215.0,3938.79,48.0,155.61,6.0,19.45
AR,16.26,28.79,13.83,9.53,22052.0,77.25,10009.0,13654.0,5095.0,5019.0,15413.0,10764.0,9752.0,22.94,37.55,10.76,8.34,59.29,28259.0,2.86,42.15,56.94,0.52,0.5,14.22,51.11,187.0,0.0,5.88,626.0,13.0,0.0,7,25.12,24.0,86.13,121.0,434.25,50.0,179.44,197.0,707.01,797.0,2860.32,238.0,854.15,0.0,0.0
AR,14.13,25.52,12.37,15.18,19985.0,69.56,10444.0,10448.0,10101.0,10092.0,0.0,7652.0,9321.0,18.82,39.87,11.26,7.01,55.48,18540.0,2.49,0.09,99.39,0.18,0.51,12.75,72.93,49.0,0.0,0.0,472.0,7.0,0.0,1,4.65,9.0,41.81,2.0,9.29,8.0,37.16,134.0,622.47,502.0,2331.96,35.0,162.59,1.0,4.65
AR,23.54,37.19,25.92,14.14,20859.0,70.42,11454.0,11005.0,22136.0,4557.0,10478.0,1105.0,2498.0,17.5,28.18,21.71,5.51,50.94,15180.0,2.9,4.72,93.97,0.46,1.1,8.35,73.01,172.0,57.56,76.16,332.0,0.0,0.0,0,0.0,6.0,32.78,4.0,21.86,4.0,21.86,109.0,595.56,580.0,3169.05,43.0,234.95,0.0,0.0
AR,13.35,23.9,11.11,16.62,19205.0,67.87,11408.0,15249.0,5147.0,4971.0,13996.0,24600.0,5886.0,24.83,32.44,16.25,7.53,51.51,23146.0,2.53,37.7,61.68,0.32,0.48,12.73,55.34,181.0,11.05,11.05,1111.0,0.0,0.0,4,16.54,11.0,45.49,47.0,194.38,63.0,260.55,407.0,1683.21,1048.0,4334.16,59.0,244.0,3.0,12.41
AR,13.68,26.3,12.48,13.29,23835.0,76.41,12994.0,13767.0,7263.0,9949.0,9013.0,8158.0,7546.0,13.8,26.71,16.74,5.61,61.01,72798.0,2.46,7.68,86.25,4.09,1.42,13.61,71.7,3010.0,15.55,27.51,3408.0,19.0,5.0,4,5.3,66.0,87.51,62.0,82.21,389.0,515.77,963.0,1276.83,3956.0,5245.22,391.0,518.42,23.0,30.5
AR,11.19,20.87,10.19,22.68,15708.0,58.46,11461.0,11620.0,10706.0,8931.0,13687.0,5895.0,9754.0,24.92,35.62,13.23,6.68,46.71,32462.0,2.24,15.46,83.11,0.42,1.34,15.04,58.79,881.0,1.7,5.79,3055.0,62.0,3.0,5,13.85,25.0,69.26,155.0,429.43,130.0,360.17,1209.0,3349.59,2556.0,7081.51,230.0,637.23,15.0,41.56
AR,13.54,27.86,13.17,11.13,26889.0,79.02,15307.0,19395.0,7559.0,19763.0,12880.0,16843.0,12926.0,14.62,18.05,30.34,5.26,64.12,175795.0,2.42,33.98,64.68,0.87,0.76,14.4,58.75,3638.0,22.37,29.36,8422.0,140.0,1.0,68,37.61,215.0,118.9,1136.0,628.25,4468.0,2470.95,5796.0,3205.38,14306.0,7911.69,2081.0,1150.86,174.0,96.23
AR,14.86,26.95,13.21,13.65,19016.0,68.24,9990.0,12230.0,5501.0,7605.0,3405.0,2697.0,3696.0,25.16,32.59,12.35,7.17,53.39,22631.0,2.6,31.74,67.21,0.53,0.76,14.34,53.43,198.0,31.82,31.82,1154.0,8.0,14.0,7,30.16,21.0,90.47,71.0,305.89,224.0,965.06,433.0,1865.49,2289.0,9861.7,75.0,323.12,18.0,77.55
AR,14.39,26.78,11.9,6.96,36698.0,88.53,15325.0,15620.0,11853.0,8805.0,13568.0,4104.0,8764.0,4.25,12.78,23.47,3.55,72.16,18893.0,2.69,5.25,93.64,0.47,1.09,10.67,80.91,263.0,5.32,5.32,357.0,6.0,0.0,1,4.83,3.0,14.49,16.0,77.25,36.0,173.82,119.0,574.57,653.0,3152.91,93.0,449.04,1.0,4.83
AR,16.24,31.45,15.07,10.56,18858.0,73.98,8925.0,11677.0,4629.0,6983.0,11207.0,6329.0,4884.0,25.55,33.68,13.67,8.69,58.42,22906.0,2.84,38.27,60.06,0.92,1.45,11.87,60.16,253.0,26.48,28.85,827.0,26.0,0.0,6,34.18,18.0,102.54,91.0,518.4,270.0,1538.11,774.0,4409.25,1371.0,7810.19,148.0,843.11,42.0,239.26
AR,14.12,27.13,12.91,11.4,25376.0,77.88,11837.0,11912.0,10173.0,10883.0,8020.0,6934.0,8652.0,9.36,29.94,13.68,3.56,65.22,29941.0,2.62,0.11,97.17,0.98,1.49,11.57,76.12,480.0,24.17,38.75,576.0,0.0,0.0,1,2.7,9.0,24.32,13.0,35.12,43.0,116.17,256.0,691.63,1059.0,2861.08,87.0,235.05,0.0,0.0
AR,13.36,25.2,11.67,13.95,23958.0,72.28,12390.0,14491.0,5771.0,9106.0,11574.0,8133.0,8372.0,17.2,26.96,17.49,5.39,58.79,61741.0,2.47,23.62,75.32,0.41,0.84,14.81,57.72,695.0,8.92,9.78,2268.0,35.0,7.0,13,20.64,71.0,112.73,324.0,514.42,235.0,373.12,1456.0,2311.73,4732.0,7513.14,873.0,1386.09,25.0,39.69
AR,15.64,34.53,16.69,5.38,25009.0,86.23,10337.0,11182.0,6917.0,7566.0,7128.0,7998.0,7963.0,11.59,17.14,12.18,6.17,68.58,29101.0,2.95,16.99,79.42,2.3,2.3,11.06,75.82,939.0,20.34,29.5,1036.0,0.0,0.0,3,10.01,17.0,56.75,48.0,160.23,179.0,597.52,278.0,928.0,1322.0,4412.99,107.0,357.18,12.0,40.06
AR,16.65,27.06,12.27,12.65,13704.0,63.62,7399.0,11512.0,4103.0,11195.0,30159.0,0.0,9022.0,41.55,38.35,12.49,15.94,45.35,13364.0,2.81,56.66,42.52,0.51,0.7,13.96,45.3,81.0,32.1,32.1,439.0,2.0,0.0,0,0.0,11.0,81.43,39.0,288.7,128.0,947.52,268.0,1983.86,1030.0,7624.55,71.0,525.58,5.0,37.01
AR,14.61,24.95,11.49,13.91,20618.0,71.96,12822.0,16181.0,5061.0,14333.0,2367.0,24000.0,13387.0,18.85,34.62,13.1,6.84,59.87,10420.0,2.58,30.12,69.31,0.21,0.35,11.2,61.31,20.0,40.0,40.0,363.0,0.0,0.0,2,19.28,2.0,19.28,17.0,163.84,39.0,375.87,205.0,1975.71,470.0,4529.68,83.0,799.92,0.0,0.0
AR,24.56,40.34,27.54,10.18,22291.0,78.71,10457.0,10981.0,5920.0,11853.0,7675.0,12067.0,3338.0,16.93,23.73,27.35,7.02,58.69,26481.0,2.81,10.04,88.82,0.65,0.54,8.61,72.65,305.0,10.16,11.15,702.0,0.0,0.0,1,2.91,8.0,23.27,25.0,72.73,58.0,168.73,188.0,546.91,1429.0,4157.09,75.0,218.18,4.0,11.64
